station_id,category,note
DESM_DEBB6940000,standalone,"unterhalb Basin-Auslass: Wriezener Alte Oder, Oder unterhalb Hohensaaten (verifiziert 2026-08-25: Oderbruch-Abfluss geht in die Hohensaaten-Friedrichsthaler Wasserstrasse, die die Oder erst bei Friedrichsthal/Westoder wieder erreicht; Pegel Hohensaaten-Finow bei Oder-km 664,95 wird umgangen - dewiki Alte Oder + Wikipedia Pegel Hohensaaten-Finow)"
DESM_DEBY24224008,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY18454003,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBB6950900,standalone,"unterhalb Basin-Auslass: Welse muendet in die Hohensaaten-Friedrichsthaler Wasserstrasse (Oder) bei Schwedt, unterhalb Oder/Hohensaaten"
DESM_DEMV04408.1,standalone,"Meer: Warnow, muendet direkt in die Ostsee"
DESM_DENW2728930000200,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW2360,standalone,"Bodensee: Schussen, muendet direkt in den Bodensee"
DESM_DEMV59810.0,standalone,unterhalb Basin-Auslass: Sude muendet bei Boizenburg unterhalb Elbe/Wittenberge
DESM_DEBY13206004,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24262007,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW2340,standalone,"Bodensee: Argen, muendet direkt in den Bodensee"
DESM_DEBY16404900,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2546030700,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY18384509,standalone,unterhalb Basin-Auslass: Isen muendet unterhalb Inn/Wasserburg
DESM_DENW2788730000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY18803805,standalone,unterhalb Basin-Auslass: Rott muendet unterhalb Inn/Wasserburg
DESM_DEBB5861600,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESH114069,standalone,"Meer: Treene, Nordsee-Kuestensystem (Eider)"
DESM_DENW4529500000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST594180,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH429600,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2768900000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW431,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW1144,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24722005,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH427010,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24167006,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY18483500,standalone,unterhalb Basin-Auslass: Traun/Bayern muendet unterhalb Inn/Wasserburg
DESM_DETH574630,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY17464001,standalone,unterhalb Basin-Auslass: Wolfsteiner Ohe muendet unterhalb Donau/Hofkirchen
DESM_DEBY13322005,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY17404000,standalone,unterhalb Basin-Auslass: Ilz muendet bei Passau unterhalb Donau/Hofkirchen
DESM_DESN563790,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2520080500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH572010,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW4433000000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW76179,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW9284730000100,standalone,"IJssel: Berkel, verlaesst Deutschland ohne weiteren Pegel"
DESM_DEBB5874601,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2822900000200,standalone,"Maas: Urft, verlaesst Deutschland ohne weiteren Pegel (Rur-System)"
DESM_DESH114064,standalone,"Meer: Soholmer Au, Nordsee-Kuestensystem"
DESM_DETH572115,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW3422,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH422000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW47834,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW3259000000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2548030400,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2375010200,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2378050000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2828900000200,standalone,"Maas: Wurm, verlaesst Deutschland ohne weiteren Pegel"
DESM_DEHE25871756,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH429010,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH575500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW76187,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY16612001,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN554520,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH577320,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY13465002,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBB5930500,standalone,"unterhalb Basin-Auslass: Karthane muendet bei Wittenberge in die Elbe (verifiziert 2026-08-25: Karthane -> Stepenitz -> Elbe bei Elbe-km 454,9; Pegel Wittenberge bei Elbe-km 453,9, also rund 1 km oberhalb der Muendung - Undine/BfG + dewiki Karthane)"
DESM_DERP2391040200,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH447000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW3313,standalone,"Bodensee: Seefelder Aach, muendet direkt in den Bodensee (Ueberlinger See)"
DESM_DENW4567000000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN550190,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST590210,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW9281700000200,standalone,"IJssel: Issel, verlaesst Deutschland ohne weiteren Pegel"
DESM_DETH421510,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2542040400,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH572400,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2849900000100,standalone,"Maas: Schwalm, verlaesst Deutschland ohne weiteren Pegel"
DESM_DERP2372030500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW9282570000100,standalone,"IJssel: Bocholter Aa, verlaesst Deutschland ohne weiteren Pegel"
DESM_DENW2824590000400,standalone,"Maas: Inde, verlaesst Deutschland ohne weiteren Pegel (Rur-System)"
DESM_DEBW60682,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE42840453,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN550810,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2656030700,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2726900000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2589030600,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH426000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESL1332220,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEXX587020,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST576000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW1151,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN583122,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN550940,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2377050700,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST597205,standalone,"unterhalb Basin-Auslass: Salzwedeler Dumme muendet ueber Jeetze/Jeetzel bei Hitzacker in die Elbe, unterhalb Wittenberge"
DESM_DEBW1140,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST579610,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW9286455000200,standalone,"IJssel: Dinkel, verlaesst Deutschland ohne weiteren Pegel"
DESM_DESN554220,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2716060000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2660030000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBB5860101,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE25650156,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW162,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST579712,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN663090,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2736879000200,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN662011,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH574500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH571700,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2768897000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN577220,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH577800,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN550110,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH424000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN552012,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW3301,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE41850054,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST587600,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY18263005,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2782370000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24758002,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN564531,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24146505,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH252450,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24118703,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH577360,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY16825002,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN583290,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY11942009,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN567221,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2391085400,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW4281319000100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN583251,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESL1341120,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST578180,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBB5860800,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE24780757,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE42780500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH421620,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY21643004,standalone,"Bodensee: Obere Argen, muendet direkt in den Bodensee"
DESM_DERP2375030600,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE25822251,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24217603,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2375020400,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE24840407,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY56122008,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24349003,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST578500,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24128004,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW57123,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW3318,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY53216954,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEXX585920,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH575660,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY12402007,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE42881009,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2692040200,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST575970,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW2432,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBW364,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN551310,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24218504,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE44840308,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE23940359,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN551000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY24236007,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2678020100,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH422201,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DESN567000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY15993001,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE24761005,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEHE42410104,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEST444205,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH574401,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2628070800,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DETH574300,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DERP2572050000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEMV58110.0,standalone,"unterhalb Basin-Auslass: Bolter Kanal ueber Mueritz-Elde-Wasserstrasse bei Doemitz in die Elbe, unterhalb Wittenberge (verifiziert 2026-08-25: MEW-Muendung bei Doemitz an Elbe-km 504,1; Pegel Wittenberge bei Elbe-km 453,9 - Wikivoyage MEW + Undine/BfG. Restunsicherheit: die Fliessrichtung im Kanal selbst ist unbelegt, und auf einem Alternativweg ueber die Havel waere die Senke nested - die Havel muendet ueber den Gnevsdorfer Vorfluter bei Elbe-km 438 und damit oberhalb Wittenberge, siehe downstream_id von Havelberg Stadt in der Topologie. Bei 3 km2 ohne messbare Folge)"
